t,PR1,T1,R1,PR3,T3,R3,PR2,T2,R2,PR4,T4,R4,P,E2,E1,E3,E4
1477224000,2527.24,20.144,6.828,2335.96,20.352,5.099,2530.53,17.851,11.575,2669.87,18.253,45.627,17.257,7785.18,8063.45,7810.94,7919.52
1477180800,2527.99,20.191,6.887,2336.63,20.398,5.148,2525.14,18.108,11.163,2660.67,18.351,44.552,17.297,7783,8061.22,7809.96,7918.29
1477137600,2528.58,20.231,6.934,2337.12,20.439,5.184,2519.59,18.352,10.739,2653.69,18.458,43.737,17.33,7781.53,8060.1,7809.16,7917.75
1477094400,2528.86,20.267,6.957,2337.33,20.478,5.2,2516.51,18.5,10.503,2644.95,18.701,42.718,17.324,7780.17,8058.89,7808.62,7917.14
1477051200,2528.75,20.301,6.949,2337.17,20.515,5.188,2514.39,18.594,10.341,2640.45,18.797,42.193,17.346,7779.45,8058.26,7808.49,7916.62
1477008000,2528.69,20.33,6.945,2337.03,20.549,5.179,2513.35,18.66,10.261,2639.97,18.764,42.136,17.413,7778.49,8057.38,7807.73,7915.46
1476964800,2528.69,20.355,6.945,2336.85,20.583,5.166,2510.63,18.773,10.054,2635.94,18.903,41.667,17.447,7778.23,8056.78,7807.43,7914.99
1476921600,2528.58,20.384,6.937,2336.52,20.621,5.142,2507.66,18.896,9.827,2633.29,19.046,41.359,17.488,7777.49,8055.77,7806.73,7913.9
1476878400,2527.49,20.422,6.853,2335.3,20.668,5.053,2508.57,18.851,9.896,2633.28,19.084,41.358,17.474,7777.59,8055.36,7806.52,7913.28
1476835200,2526.4,20.465,6.769,2334.05,20.72,4.963,2513.62,18.676,10.282,2635.96,19.006,41.671,17.599,7775.49,8053.93,7805.86,7911.56
1476792000,2525.54,20.514,6.703,2333.05,20.778,4.89,2513.6,18.678,10.28,2636.53,19,41.737,17.651,7773.41,8052.7,7805.27,7910.31
1476748800,2524.55,20.573,6.627,2331.91,20.841,4.808,2518.03,18.545,10.618,2636.77,19.03,41.766,17.753,7770.5,8050.75,7803.94,7908.45
1476705600,2523.72,20.636,6.563,2330.98,20.909,4.741,2516.21,18.628,10.479,2637.39,19.054,41.839,17.779,7768.46,8049.89,7803.48,7907.54
1476662400,2522.47,20.705,6.467,2329.66,20.982,4.645,2519.81,18.523,10.754,2638.9,19.012,42.015,17.891,7765.67,8048.62,7802.68,7906.07
1476619200,2521.72,20.784,6.41,2328.83,21.059,4.585,2518.31,18.611,10.639,2636.89,19.103,41.781,17.852,7762.93,8047.38,7802.41,7905.57
1476576000,2520.58,20.866,6.323,2327.69,21.138,4.503,2522.56,18.501,10.963,2639.33,19.007,42.065,18.057,7758.44,8045.35,7801.19,7903.39
1476532800,2520.21,20.942,6.295,2327.27,21.213,4.473,2521.15,18.606,10.855,2629.12,19.16,40.873,18.061,7756.11,8043.44,7800.78,7902.55
1476489600,2520.03,21.016,6.283,2327.01,21.288,4.455,2517.03,18.816,10.54,2620.37,19.39,39.852,18.129,7753.37,8041.49,7800.12,7901.27
1476446400,2519.81,21.089,6.267,2326.7,21.361,4.433,2514.17,18.966,10.321,2618.65,19.44,39.652,18.182,7749.81,8039.64,7799.59,7899.95
1476403200,2519.5,21.16,6.244,2326.28,21.434,4.403,2512.21,19.092,10.17,2615.82,19.561,39.322,18.244,7746.31,8037.87,7798.39,7898.65
1476360000,2518.89,21.233,6.198,2325.67,21.509,4.359,2508.91,19.25,9.918,2617.36,19.54,39.502,18.291,7743.01,8036.65,7797.96,7897.4
1476316800,2518.15,21.308,6.142,2324.88,21.584,4.302,2509.8,19.268,9.986,2613.96,19.61,39.106,18.418,7739.5,8034.91,7797.29,7895.76
1476273600,2517.91,21.381,6.125,2324.54,21.658,4.278,2507.28,19.413,9.793,2606.96,19.766,38.289,18.45,7736.25,8032.73,7796.79,7894.49
1476230400,2517.36,21.459,6.083,2324.06,21.735,4.244,2503.79,19.587,9.526,2604.86,19.863,38.045,18.513,7732.42,8030.86,7795.4,7892.73
1476187200,2516.44,21.538,6.013,2323.17,21.813,4.179,2504.73,19.597,9.597,2606.11,19.82,38.19,18.543,7729.19,8029.95,7795.13,7892.03
1476144000,2515.79,21.62,5.964,2322.52,21.891,4.133,2503.17,19.713,9.477,2607.23,19.773,38.321,18.653,7725.47,8028.95,7794.94,7891.11
1476100800,2515.17,21.703,5.918,2322.01,21.969,4.096,2500.53,19.854,9.275,2597.5,19.951,37.185,18.65,7722.33,8027.45,7794.76,7890.57
1476057600,2514.7,21.78,5.882,2321.68,22.039,4.073,2502.33,19.864,9.412,2582.55,20.297,35.441,18.681,7718.37,8025.27,7794.23,7889.35
1476014400,2515.23,21.845,5.925,2322.29,22.1,4.118,2496.39,20.165,8.957,2575.48,20.418,34.616,18.722,7714.8,8023.42,7793.74,7888.16
1475971200,2515.94,21.901,5.982,2323,22.153,4.17,2489.21,20.499,8.408,2565.06,20.603,33.399,18.756,7711.83,8021.56,7792.72,7886.66
1475928000,2516.26,21.952,6.008,2323.36,22.202,4.197,2482.28,20.79,7.879,2561.4,20.706,32.972,18.767,7709.94,8021.12,7792.93,7886.49
1475884800,2516.1,21.999,5.996,2323.26,22.247,4.19,2480.92,20.883,7.774,2560.53,20.715,32.871,18.896,7707.04,8019.92,7792.09,7885.17
1475841600,2516.35,22.04,6.016,2323.56,22.287,4.213,2477.64,21.04,7.524,2549.27,20.922,31.557,18.863,7705.55,8019.26,7791.93,7885.12
